label,text
spam,"['rodger', 'burns', 'msg', 'tried', 'call', 'reply', 'sms', 'free', 'nokia', 'mobile', 'free', 'camcorder', 'please', 'call', 'delivery', 'tomorrow']"
valid,['seeing']
valid,"['great', 'hope', 'like', 'man', 'well', 'endowed', 'ltgt', 'inches']"
valid,"['callsmessagesmissed', 'calls']"
valid,"['did', 'nt', 'get', 'hep', 'b', 'immunisation', 'nigeria']"
valid,"['fair', 'enough', 'anything', 'going']"
valid,"['yeah', 'hopefully', 'tyler', 'ca', 'nt', 'could', 'maybe', 'ask', 'around', 'bit']"
valid,"['u', 'do', 'nt', 'know', 'stubborn', 'did', 'nt', 'even', 'want', 'go', 'hospital', 'kept', 'telling', 'mark', 'i', 'm', 'weak', 'sucker', 'hospitals', 'weak', 'suckers']"
valid,"['thinked', 'first', 'time', 'saw', 'class']"
valid,"['gram', 'usually', 'runs', 'like', 'ltgt', 'half', 'eighth', 'smarter', 'though', 'gets', 'almost', 'whole', 'second', 'gram', 'ltgt']"
valid,"['k', 'fyi', 'x', 'ride', 'early', 'tomorrow', 'morning', 'he', 's', 'crashing', 'place', 'tonight']"
valid,"['wow', 'never', 'realized', 'embarassed', 'accomodations', 'thought', 'liked', 'since', 'best', 'could', 'always', 'seemed', 'happy', 'cave', 'i', 'm', 'sorry', 'did', 'nt', 'do', 'nt', 'give', 'i', 'm', 'sorry', 'offered', 'i', 'm', 'sorry', 'room', 'embarassing']"
spam,"['sms', 'ac', 'sptv', 'new', 'jersey', 'devils', 'detroit', 'red', 'wings', 'play', 'ice', 'hockey', 'correct', 'incorrect', 'end', 'reply', 'end', 'sptv']"
valid,"['know', 'mallika', 'sherawat', 'yesterday', 'find', 'lturlgt']"
spam,"['congrats', 'year', 'special', 'cinema', 'pass', 'call', 'c', 'suprman', 'v', 'matrix', 'starwars', 'etc', 'free', 'bxipwe', 'pm', 'do', 'nt', 'miss']"
valid,"['sorry', 'ill', 'call', 'later', 'meeting']"
valid,"['tell', 'reached']"
valid,"['yesgauti', 'sehwag', 'odi', 'series']"
valid,"['gon', 'na', 'pick', 'burger', 'way', 'home', 'ca', 'nt', 'even', 'move', 'pain', 'killing']"
valid,"['ha', 'ha', 'ha', 'good', 'joke', 'girls', 'situation', 'seekers']"
valid,"['part', 'checking', 'iq']"
valid,"['sorry', 'roommates', 'took', 'forever', 'ok', 'come']"
valid,"['ok', 'lar', 'double', 'check', 'wif', 'da', 'hair', 'dresser', 'already', 'said', 'wun', 'cut', 'v', 'short', 'said', 'cut', 'look', 'nice']"
spam,"['valued', 'customer', 'pleased', 'advise', 'following', 'recent', 'review', 'mob', 'awarded', 'bonus', 'prize', 'call']"
valid,"['today', 'song', 'dedicated', 'day', 'song', 'u', 'dedicate', 'send', 'ur', 'valuable', 'frnds', 'first', 'rply']"
spam,"['urgent', 'ur', 'awarded', 'complimentary', 'trip', 'eurodisinc', 'trav', 'acoentry', 'claim', 'txt', 'dis', 'morefrmmob', 'shracomorsglsuplt', 'ls', 'aj']"
spam,"['hear', 'new', 'divorce', 'barbie', 'comes', 'kens', 'stuff']"
valid,"['plane', 'give', 'month', 'end']"
valid,"['wah', 'lucky', 'man', 'save', 'money', 'hee']"
valid,"['finished', 'class']"
valid,"['hi', 'babe', 'i', 'm', 'home', 'wanna', 'something', 'xx']"
valid,"['kkwhere', 'youhow', 'performed']"
valid,"['u', 'call']"
valid,"['waiting', 'machan', 'call', 'free']"
valid,"['that', 's', 'cool', 'gentleman', 'treat', 'dignity', 'respect']"
valid,"['like', 'peoples', 'much', 'shy', 'pa']"
valid,"['operate', 'ltgt']"
valid,"['still', 'looking', 'job', 'much', 'tas', 'earn']"
valid,"['sorry', 'ill', 'call', 'later']"
valid,"['k', 'call', 'ah']"
valid,"['ok', 'way', 'home', 'hi', 'hi']"
valid,"['place', 'man']"
valid,"['yup', 'next', 'stop']"
valid,"['call', 'later', 'do', 'nt', 'network', 'urgnt', 'sms']"
valid,"['real', 'u', 'getting', 'yo', 'need', 'tickets', 'one', 'jacket', 'i', 'm', 'done', 'already', 'used', 'multis']"
valid,"['yes', 'started', 'send', 'requests', 'make', 'pain', 'came', 'back', 'i', 'm', 'back', 'bed', 'double', 'coins', 'factory', 'got', 'ta', 'cash', 'nitros']"
valid,"['i', 'm', 'really', 'still', 'tonight', 'babe']"
valid,"['ela', 'kanoil', 'download', 'come', 'wen', 'ur', 'free']"
valid,"['yeah', 'do', 'nt', 'stand', 'close', 'tho', 'you', 'll', 'catch', 'something']"
valid,"['sorry', 'pain', 'ok', 'meet', 'another', 'night', 'spent', 'late', 'afternoon', 'casualty', 'means', 'have', 'nt', 'done', 'stuffmoro', 'includes', 'time', 'sheets', 'sorry']"
valid,"['smile', 'pleasure', 'smile', 'pain', 'smile', 'trouble', 'pours', 'like', 'rain', 'smile', 'sum', 'hurts', 'u', 'smile', 'becoz', 'someone', 'still', 'loves', 'see', 'u', 'smiling']"
spam,"['please', 'call', 'customer', 'service', 'representative', 'ampm', 'guaranteed', 'cash', 'prize']"
valid,"['have', 'nt', 'planning', 'buy', 'later', 'check', 'already', 'lido', 'got', 'show', 'e', 'afternoon', 'u', 'finish', 'work', 'already']"
spam,"['free', 'ringtone', 'waiting', 'collected', 'simply', 'text', 'password', 'mix', 'verify', 'get', 'usher', 'britney', 'fml', 'po', 'box', 'mk', 'h', 'ppw']"
valid,"['watching', 'telugu', 'moviewat', 'abt', 'u']"
valid,"['see', 'finish', 'loads', 'loans', 'pay']"
valid,"['hi', 'wk', 'ok', 'hols', 'yes', 'bit', 'run', 'forgot', 'hairdressers', 'appointment', 'four', 'need', 'get', 'home', 'n', 'shower', 'beforehand', 'cause', 'prob', 'u']"
valid,"['see', 'cup', 'coffee', 'animation']"
valid,"['please', 'do', 'nt', 'text', 'anymore', 'nothing', 'else', 'say']"
valid,"['okay', 'name', 'ur', 'price', 'long', 'legal', 'wen', 'pick', 'u', 'ave', 'x', 'ams', 'xx']"
valid,"['i', 'm', 'still', 'looking', 'car', 'buy', 'gone', 'driving', 'test', 'yet']"
valid,"['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'set', 'callertune', 'callers', 'press', 'copy', 'friends', 'callertune']"
valid,"['wow', 'you', 're', 'right', 'did', 'nt', 'mean', 'guess', 'gave', 'boston', 'men', 'changed', 'search', 'location', 'nyc', 'something', 'changed', 'cuz', 'signin', 'page', 'still', 'says', 'boston']"
valid,"['umma', 'life', 'vava', 'umma', 'love', 'lot', 'dear']"
valid,"['thanks', 'lot', 'wishes', 'birthday', 'thanks', 'making', 'birthday', 'truly', 'memorable']"
valid,"['aight', 'ill', 'hit', 'get', 'cash']"
valid,"['would', 'ip', 'address', 'test', 'considering', 'computer', 'is', 'nt', 'minecraft', 'server']"
valid,"['know', 'grumpy', 'old', 'people', 'mom', 'like', 'better', 'lying', 'always', 'one', 'play', 'jokes']"
valid,"['do', 'nt', 'worry', 'guess', 'he', 's', 'busy']"
valid,"['plural', 'noun', 'research']"
valid,"['going', 'dinnermsg']"
valid,"['i', 'm', 'ok', 'wif', 'cos', 'like', 'try', 'new', 'things', 'scared', 'u', 'dun', 'like', 'mah', 'cos', 'u', 'said', 'loud']"
spam,"['gent', 'trying', 'contact', 'last', 'weekends', 'draw', 'shows', 'prize', 'guaranteed', 'call', 'claim', 'code', 'k', 'valid', 'hrs', 'ppm']"
valid,"['wa', 'ur', 'openin', 'sentence', 'formal', 'anyway', 'i', 'm', 'fine', 'juz', 'tt', 'i', 'm', 'eatin', 'much', 'n', 'puttin', 'weighthaha', 'anythin', 'special', 'happened']"
valid,"['entered', 'cabin', 'pa', 'said', 'happy', 'bday', 'boss', 'felt', 'special', 'askd', 'lunch', 'lunch', 'invited', 'apartment', 'went']"
spam,"['winner', 'u', 'specially', 'selected', 'receive', 'holiday', 'flights', 'inc', 'speak', 'live', 'operator', 'claim', 'pmin']"
valid,"['goodo', 'yes', 'must', 'speak', 'friday', 'eggpotato', 'ratio', 'tortilla', 'needed']"
valid,"['hmmmy', 'uncle', 'informed', 'he', 's', 'paying', 'school', 'directly', 'pls', 'buy', 'food']"
spam,"['private', 'account', 'statement', 'shows', 'unredeemed', 'bonus', 'points', 'claim', 'call', 'identifier', 'code', 'expires']"
spam,"['urgent', 'mobile', 'awarded', 'bonus', 'caller', 'prize', 'final', 'try', 'contact', 'u', 'call', 'landline', 'boxwrc', 'ppm']"
valid,"['new', 'address', 'applespairsall', 'malarky']"
spam,"['todays', 'voda', 'numbers', 'ending', 'selected', 'receive', 'award', 'match', 'please', 'call', 'quoting', 'claim', 'code', 'standard', 'rates', 'app']"
valid,"['going', 'sao', 'mu', 'today', 'done']"
valid,"['ü', 'predict', 'wat', 'time', 'üll', 'finish', 'buying']"
valid,"['good', 'stuff']"
valid,"['knowyetunde', 'has', 'nt', 'sent', 'money', 'yet', 'sent', 'text', 'bother', 'sending', 'do', 'nt', 'involve', 'anything', 'should', 'nt', 'imposed', 'anything', 'first', 'place', 'apologise']"
valid,['room']
valid,"['hey', 'girl', 'r', 'u', 'hope', 'u', 'r', 'well', 'del', 'r', 'bak', 'long', 'time', 'c', 'give', 'call', 'sum', 'time', 'lucyxx']"
valid,"['kkhow', 'much', 'cost']"
valid,"['i', 'm', 'home']"
valid,"['dear', 'call', 'tmorrowpls', 'accomodate']"
valid,"['first', 'answer', 'question']"
spam,"['sunshine', 'quiz', 'wkly', 'q', 'win', 'top', 'sony', 'dvd', 'player', 'u', 'know', 'country', 'algarve', 'txt', 'ansr', 'sptyrone']"
spam,"['want', 'get', 'laid', 'tonight', 'want', 'real', 'dogging', 'locations', 'sent', 'direct', 'ur', 'mob', 'join', 'uks', 'largest', 'dogging', 'network', 'bt', 'txting', 'gravel', 'nt', 'eca', 'pmsgp']"
valid,"['haf', 'msn', 'yijuehotmailcom']"
valid,"['call', 'meet']"
valid,"['check', 'rooms', 'befor', 'activities']"
spam,"['you', 'll', 'rcv', 'msgs', 'chat', 'svc', 'free', 'hardcore', 'services', 'text', 'go', 'u', 'get', 'nothing', 'u', 'must', 'age', 'verify', 'yr', 'network', 'try']"
valid,"['got', 'c', 'lazy', 'type', 'forgot', 'ü', 'lect', 'saw', 'pouch', 'like', 'v', 'nice']"
valid,"['k', 'text', 'you', 're', 'way']"
valid,"['sir', 'waiting', 'mail']"
valid,"['swt', 'thought', 'nver', 'get', 'tired', 'little', 'things', 'lovable', 'persons', 'cozsomtimes', 'little', 'things', 'occupy', 'biggest', 'part', 'hearts', 'gud', 'ni']"
valid,"['know', 'pls', 'open', 'back']"
valid,"['yes', 'see', 'ya', 'dot']"
valid,"['what', 's', 'staff', 'name', 'taking', 'class', 'us']"
spam,"['freemsg', 'have', 'nt', 'replied', 'text', 'i', 'm', 'randy', 'sexy', 'female', 'live', 'local', 'luv', 'hear', 'u', 'netcollex', 'ltd', 'p', 'per', 'msg', 'reply', 'stop', 'end']"
valid,"['ummmawill', 'call', 'check', 'inour', 'life', 'begin', 'qatar', 'pls', 'pray', 'hard']"
valid,"['ki', 'deleted', 'contact']"
valid,"['sindu', 'got', 'job', 'birla', 'soft']"
valid,"['wine', 'flowing', 'i', 'm', 'nevering']"
valid,"['yup', 'thk', 'cine', 'better', 'cos', 'need', 'go', 'plaza', 'mah']"
valid,"['ok', 'ur', 'typical', 'reply']"
valid,"['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'set', 'callertune', 'callers', 'press', 'copy', 'friends', 'callertune']"
valid,"['everywhere', 'dirt', 'floor', 'windows', 'even', 'shirt', 'sometimes', 'open', 'mouth', 'comes', 'flowing', 'dream', 'world', 'without', 'half', 'chores', 'time', 'joy', 'lots', 'tv', 'shows', 'ill', 'see', 'guess', 'like', 'things', 'must', 'exist', 'like', 'rain', 'hail', 'mist', 'time', 'done', 'become', 'one']"
valid,"['aaooooright', 'work']"
valid,"['i', 'm', 'leaving', 'house']"
valid,"['hello', 'love', 'get', 'interview', 'today', 'happy', 'good', 'boy', 'think', 'meare', 'missing']"
spam,"['customer', 'service', 'annoncement', 'new', 'years', 'delivery', 'waiting', 'please', 'call', 'arrange', 'delivery']"
spam,"['winner', 'u', 'specially', 'selected', 'receive', 'cash', 'holiday', 'flights', 'inc', 'speak', 'live', 'operator', 'claim']"
valid,"['keep', 'safe', 'need', 'miss', 'already', 'envy', 'everyone', 'sees', 'real', 'life']"
valid,"['new', 'car', 'house', 'parentsi', 'new', 'job', 'hand']"
valid,"['i', 'm', 'love', 'i', 'm', 'excited', 'day', 'spend', 'make', 'happy']"
spam,"['pls', 'stop', 'bootydelious', 'f', 'inviting', 'friend', 'reply', 'yes', 'see', 'wwwsmsacubootydelious', 'stop', 'send', 'stop', 'frnd']"
spam,"['bangbabes', 'ur', 'order', 'way', 'u', 'receive', 'service', 'msg', 'download', 'ur', 'content', 'u', 'goto', 'wap', 'bangb', 'tv', 'ur', 'mobile', 'internetservice', 'menu']"
valid,"['place', 'ur', 'points', 'e', 'cultures', 'module', 'already']"
spam,"['urgent', 'trying', 'contact', 'last', 'weekends', 'draw', 'shows', 'prize', 'guaranteed', 'call', 'claim', 'code', 'valid', 'hrs']"
valid,"['hi', 'frnd', 'best', 'way', 'avoid', 'missunderstding', 'wit', 'beloved', 'ones']"
valid,"['great', 'escape', 'fancy', 'bridge', 'needs', 'lager', 'see', 'tomo']"
valid,"['yes', 'completely', 'formclark', 'also', 'utter', 'waste']"
valid,"['sir', 'need', 'axis', 'bank', 'account', 'bank', 'address']"
valid,"['hmmm', 'thk', 'sure', 'got', 'time', 'hop', 'ard', 'ya', 'go', 'free', 'abt', 'muz', 'call', 'u', 'discuss', 'liao']"
valid,"['time', 'coming', 'later']"
valid,"['bloody', 'hell', 'ca', 'nt', 'believe', 'forgot', 'surname', 'mr', 'ill', 'give', 'u', 'clue', 'spanish', 'begins']"
valid,"['well', 'i', 'm', 'gon', 'na', 'finish', 'bath', 'goodfine', 'night']"
valid,"['let', 'know', 'you', 've', 'got', 'money', 'carlos', 'make', 'call']"
valid,"['u', 'still', 'going', 'mall']"
valid,"['turns', 'friends', 'staying', 'whole', 'show', 'wo', 'nt', 'back', 'til', 'ltgt', 'feel', 'free', 'go', 'ahead', 'smoke', 'ltgt', 'worth']"
valid,"['text', 'does', 'nt', 'reply', 'let', 'know', 'log']"
valid,"['hi', 'spoke', 'maneesha', 'v', 'we', 'd', 'like', 'know', 'satisfied', 'experience', 'reply', 'toll', 'free', 'yes']"
valid,"['lifted', 'hopes', 'offer', 'money', 'need', 'especially', 'end', 'month', 'approaches', 'hurts', 'studying', 'anyways', 'gr', 'weekend']"
valid,"['lol', 'u', 'trust']"
valid,"['ok', 'gentleman', 'treat', 'dignity', 'respect']"
valid,"['guys', 'close']"
valid,"['going', 'nothing', 'greatbye']"
valid,"['hello', 'handsome', 'finding', 'job', 'lazy', 'working', 'towards', 'getting', 'back', 'net', 'mummy', 'where', 's', 'boytoy', 'miss']"
valid,"['haha', 'awesome', 'minute']"
spam,"['please', 'call', 'customer', 'service', 'representative', 'freephone', 'ampm', 'guaranteed', 'cash', 'prize']"
valid,"['got', 'xmas', 'radio', 'times', 'get']"
valid,"['jus', 'reached', 'home', 'go', 'bathe', 'first', 'sis', 'using', 'net', 'tell', 'u', 'finishes', 'k']"
spam,"['unique', 'enough', 'find', 'th', 'august', 'wwwareyouuniquecouk']"
valid,"['i', 'm', 'sorry', 'i', 've', 'joined', 'league', 'people', 'do', 'nt', 'keep', 'touch', 'mean', 'great', 'deal', 'friend', 'times', 'even', 'great', 'personal', 'cost', 'great', 'week']"
valid,"['hi', 'finally', 'completed', 'course']"
valid,"['stop', 'however', 'suggest', 'stays', 'someone', 'able', 'give', 'ors', 'every', 'stool']"
valid,"['hope', 'you', 've', 'settled', 'new', 'school', 'year', 'wishin', 'gr', 'day']"
valid,"['gud', 'mrng', 'dear', 'hav', 'nice', 'day']"
valid,"['u', 'got', 'persons', 'story']"
valid,"['hamster', 'dead', 'hey', 'tmr', 'meet', 'pm', 'orchard', 'mrt']"
valid,"['hi', 'kate', 'evening', 'hope', 'see', 'tomorrow', 'bit', 'bloody', 'babyjontet', 'txt', 'back', 'u', 'xxx']"
valid,"['found', 'enc', 'ltgt']"
valid,"['sent', 'ltgt', 'bucks']"
valid,"['hello', 'darlin', 'i', 've', 'finished', 'college', 'txt', 'u', 'finish', 'u', 'love', 'kate', 'xxx']"
valid,"['account', 'refilled', 'successfully', 'inr', 'ltdecimalgt', 'keralacircle', 'prepaid', 'account', 'balance', 'rs', 'ltdecimalgt', 'transaction', 'i', 'd', 'kr', 'ltgt']"
valid,"['goodmorning', 'sleeping', 'ga']"
valid,"['u', 'call', 'alter', 'ok']"
valid,"['ü', 'say', 'like', 'dat', 'dun', 'buy', 'ericsson', 'oso', 'can', 'not', 'oredi', 'lar']"
valid,"['entered', 'cabin', 'pa', 'said', 'happy', 'bday', 'boss', 'felt', 'special', 'askd', 'lunch', 'lunch', 'invited', 'apartment', 'went']"
valid,"['aight', 'yo', 'dats', 'straight', 'dogg']"
valid,"['please', 'give', 'us', 'connection', 'today', 'ltdecimalgt', 'refund', 'bill']"
valid,"['shoot', 'big', 'loads', 'get', 'ready']"
valid,"['what', 's', 'bruv', 'hope', 'great', 'break', 'rewarding', 'semester']"
valid,"['home', 'always', 'chat']"
valid,"['kkgoodstudy', 'well']"
valid,"['yup', 'ü', 'noe', 'leh']"
valid,"['sounds', 'great', 'home']"
valid,"['finally', 'match', 'heading', 'towards', 'draw', 'prediction']"
valid,"['tired', 'have', 'nt', 'slept', 'well', 'past', 'nights']"
valid,"['easy', 'ahsen', 'got', 'selected', 'means', 'good']"
valid,"['take', 'exam', 'march']"
valid,"['yeah', 'think', 'use', 'gt', 'atm', 'register', 'sure', 'there', 's', 'anyway', 'help', 'let', 'know', 'sure', 'ready']"
valid,"['ok', 'prob', 'take', 'ur', 'time']"
valid,"['os', 'called', 'ubandu', 'run', 'without', 'installing', 'hard', 'diskyou', 'use', 'os', 'copy', 'important', 'files', 'system', 'give', 'repair', 'shop']"
valid,"['sorry', 'ill', 'call', 'later']"
valid,"['u', 'say', 'leh', 'course', 'nothing', 'happen', 'lar', 'say', 'v', 'romantic', 'jus', 'bit', 'lor', 'thk', 'e', 'nite', 'scenery', 'nice', 'leh']"
spam,"['new', 'mobiles', 'must', 'go', 'txt', 'nokia', 'collect', 'todayfrom', 'wwwtcbiz', 'optout', 'gbpmtmsg']"
valid,"['would', 'really', 'appreciate', 'call', 'need', 'someone', 'talk']"
spam,"['u', 'meet', 'ur', 'dream', 'partner', 'soon', 'ur', 'career', 'flyng', 'start', 'find', 'free', 'txt', 'horo', 'followed', 'ur', 'star', 'sign', 'e', 'g', 'horo', 'aries']"
valid,"['hey', 'company', 'elama', 'po', 'mudyadhu']"
valid,"['life', 'strict', 'teacher', 'bcoz', 'teacher', 'teaches', 'lesson', 'amp', 'conducts', 'exam', 'life', 'first', 'conducts', 'exam', 'amp', 'teaches', 'lessons', 'happy', 'morning']"
valid,"['dear', 'good', 'morning']"
valid,"['get', 'gandhipuram', 'walk', 'cross', 'cut', 'road', 'right', 'side', 'ltgt', 'street', 'road', 'turn', 'first', 'right']"
valid,"['dear', 'going', 'rubber', 'place']"
valid,"['sorry', 'battery', 'died', 'yeah', 'i', 'm']"
valid,"['yeshere', 'tv', 'always', 'available', 'work', 'place']"
spam,"['text', 'meet', 'someone', 'sexy', 'today', 'u', 'find', 'date', 'even', 'flirt', 'u', 'join', 'p', 'reply', 'name', 'age', 'eg', 'sam', 'msg', 'recdthirtyeight', 'pence']"
valid,"['printed', 'oh', 'ltgt', 'come', 'upstairs']"
valid,"['ill', 'little', 'closer', 'like', 'bus', 'stop', 'street']"
valid,"['youwhen', 'wil', 'reach']"
valid,"['new', 'theory', 'argument', 'wins', 'situation', 'loses', 'person', 'do', 'nt', 'argue', 'ur', 'friends', 'kick', 'amp', 'say', 'i', 'm', 'always', 'correct']"
spam,"['u', 'secret', 'admirer', 'looking', 'make', 'contact', 'ufind', 'rreveal', 'thinks', 'ur', 'specialcall']"
valid,"['tomarrow', 'final', 'hearing', 'laptop', 'case', 'ca', 'nt']"
valid,"['pleassssssseeeeee', 'tel', 'v', 'avent', 'done', 'sportsx']"
valid,"['okay', 'shining', 'meant', 'signing', 'sounds', 'better']"
valid,"['although', 'told', 'u', 'dat', 'i', 'm', 'baig', 'face', 'watches', 'really', 'like', 'e', 'watch', 'u', 'gave', 'cos', 'fr', 'u', 'thanx', 'everything', 'dat', 'uve', 'done', 'today', 'i', 'm', 'touched']"
valid,"['u', 'do', 'nt', 'remember', 'old', 'commercial']"
valid,"['late', 'said', 'website', 'did', 'nt', 'do', 'nt', 'slippers']"
valid,"['asked', 'call', 'ok']"
valid,"['kallis', 'wo', 'nt', 'bat', 'nd', 'innings']"
valid,"['did', 'nt', 'work', 'oh', 'ok', 'goodnight', 'ill', 'fix', 'ready', 'time', 'wake', 'dearly', 'missed', 'good', 'night', 'sleep']"
spam,"['congratulations', 'ur', 'awarded', 'cd', 'vouchers', 'gift', 'guaranteed', 'free', 'entry', 'wkly', 'draw', 'txt', 'music', 'tncs', 'wwwldewcomwinppmxage']"
valid,"['ranjith', 'cal', 'drpd', 'deeraj', 'deepak', 'min', 'hold']"
valid,"['wen', 'ur', 'lovable', 'bcums', 'angry', 'wid', 'u', 'dnt', 'take', 'seriously', 'coz', 'angry', 'childish', 'n', 'true', 'way', 'showing', 'deep', 'affection', 'care', 'n', 'luv', 'kettoda', 'manda', 'nice', 'day', 'da']"
valid,['doinghow']
valid,"['ups', 'days', 'also', 'shipping', 'company', 'takes', 'wks', 'way', 'usps', 'takes', 'week', 'gets', 'lag', 'may', 'bribe', 'nipost', 'get', 'stuff']"
valid,"['i', 'm', 'back', 'lemme', 'know', 'you', 're', 'ready']"
valid,"['do', 'nt', 'necessarily', 'expect', 'done', 'get', 'back', 'though', 'i', 'm', 'headin']"
valid,"['mmm', 'yummy', 'babe', 'nice', 'jolt', 'suzy']"
valid,"['lover', 'need']"
spam,"['tried', 'contact', 'reply', 'offer', 'video', 'handset', 'anytime', 'networks', 'mins', 'unlimited', 'text', 'camcorder', 'reply', 'call']"
valid,"['i', 'm', 'parked', 'next', 'mini', 'coming', 'today', 'think']"
valid,['yup']
valid,"['anyway', 'i', 'm', 'going', 'shopping', 'cos', 'sis', 'done', 'yet', 'dun', 'disturb', 'u', 'liao']"
valid,"['luton', 'ring', 'ur', 'around', 'h']"
spam,"['hey', 'really', 'horny', 'want', 'chat', 'see', 'naked', 'text', 'hot', 'text', 'charged', 'pm', 'unsubscribe', 'text', 'stop']"
valid,"['dint', 'come', 'us']"
valid,"['wana', 'plan', 'trip', 'sometme']"
valid,"['sure', 'yet', 'still', 'trying', 'get', 'hold']"
